Strefa (AB);Zakres (number);Operator (nazwa);Operator (ID);Strefa (nazwa);Strefa (symbol);Obszar numeracyjny;Data modyfikacji
32;32412(0,2-3,5);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2016-07-09 12:15
32;32412(4,6-9);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324121;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2016-07-09 12:15
32;32413(2-4);Proxnet Sp. J.;889;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32413(5-7);SAT-MONT-SERVICE Jacek Mruk, Krzysztof Mruk Sp. z o.o.;315;KATOWICE;SN-KA;Bêdzin, D¹browa Górnicza, Sosnowiec;2015-07-20 12:52
32;32413(8,9);ART-COM Sp. z o.o.;7817;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324130;P4 Sp. z o.o. (d. 3S S.A.);4408;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324131;Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32414(0,4,5,7-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32414(1,2);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32414(3,6);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32416;P4 Sp. z o.o. (d. 3S S.A.);4408;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32418(1-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324180;Softblue S.A.;12915;KATOWICE;SN-KA;CA£A SN;2021-01-15 12:15
32;3242(1-6);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2018-01-13 12:15
32;32420;P4 Sp. z o.o. (d. 3S S.A.);4408;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32427(0-4,6-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2018-01-13 12:15
32;324275;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2018-01-13 12:15
32;32428(1-5);E-CALL POLSKA Sp. z o.o.;9331;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32428(7,8);P4 Sp. z o.o. (d. 3S S.A.);4408;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324280;Polineo Sp. z o.o.;11499;KATOWICE;SN-KA;CA£A SN;2018-08-03 12:15
32;324286;Netia S.A.;6;KATOWICE;SN-KA;CA£A SN;2020-06-10 12:15
32;324289;Telbeskid Sp. z o.o.;57;KATOWICE;SN-KA;CA£A SN;2020-03-14 12:15
32;32429(0,7,9);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32429(1-6);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2016-07-09 12:15
32;324298;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2016-07-09 12:15
32;3243(0,4,5);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32431(1-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
